"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58
-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71
-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82
-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91
-2,-2,-2,-2,-2,-2,-2,-2
-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99
-1.97,-1.97,-1.97,-1.97,-1.97,-1.97,-1.97,-1.97
-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91
-1.86,-1.86,-1.86,-1.86,-1.86,-1.86,-1.86,-1.86
-1.74,-1.74,-1.74,-1.74,-1.74,-1.74,-1.74,-1.74
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.53,-1.53,-1.53,-1.53,-1.53,-1.53,-1.53,-1.53
-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44
-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34
-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37
-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41,-1.41
-1.46,-1.46,-1.46,-1.46,-1.46,-1.46,-1.46,-1.46
-1.46,-1.46,-1.46,-1.46,-1.46,-1.46,-1.46,-1.46
-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89
-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
-2,-2,-2,-2,-2,-2,-2,-2
-1.97,-1.97,-1.97,-1.97,-1.97,-1.97,-1.97,-1.97
-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96
-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04
-2,-2,-2,-2,-2,-2,-2,-2
-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85
-1.67,-1.67,-1.67,-1.67,-1.67,-1.67,-1.67,-1.67
-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38
-1.23,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23
-1.15,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15
-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,-0.86
-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79
-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79
-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78
-0.81,-0.81,-0.81,-0.81,-0.81,-0.81,-0.81,-0.81
-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89
-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89
-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98
-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24
-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29
-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34
-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36
-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68
-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68
-2.01,-2.01,-2.01,-2.01,-2.01,-2.01,-2.01,-2.01
-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18
-2.36,-2.36,-2.36,-2.36,-2.36,-2.36,-2.36,-2.36
-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65
-2.69,-2.69,-2.69,-2.69,-2.69,-2.69,-2.69,-2.69
-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74
-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78
-2.85,-2.85,-2.85,-2.85,-2.85,-2.85,-2.85,-2.85
-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91
-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01,-3.01
-2.98,-2.98,-2.98,-2.98,-2.98,-2.98,-2.98,-2.98
-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95
-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95
-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95
-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82
-2.79,-2.79,-2.79,-2.79,-2.79,-2.79,-2.79,-2.79
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75
-2.69,-2.69,-2.69,-2.69,-2.69,-2.69,-2.69,-2.69
-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8
-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91
-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03
-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12
-3.31,-3.31,-3.31,-3.31,-3.31,-3.31,-3.31,-3.31
-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51
-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51
-3.75,-3.75,-3.75,-3.75,-3.75,-3.75,-3.75,-3.75
-3.92,-3.92,-3.92,-3.92,-3.92,-3.92,-3.92,-3.92
-3.92,-3.92,-3.92,-3.92,-3.92,-3.92,-3.92,-3.92
-4.13,-4.13,-4.13,-4.13,-4.13,-4.13,-4.13,-4.13
-3.84,-3.84,-3.84,-3.84,-3.84,-3.84,-3.84,-3.84
-3.68,-3.68,-3.68,-3.68,-3.68,-3.68,-3.68,-3.68
-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52,-3.52
-3.42,-3.42,-3.42,-3.42,-3.42,-3.42,-3.42,-3.42
-3.38,-3.38,-3.38,-3.38,-3.38,-3.38,-3.38,-3.38
-3.39,-3.39,-3.39,-3.39,-3.39,-3.39,-3.39,-3.39
-3.39,-3.39,-3.39,-3.39,-3.39,-3.39,-3.39,-3.39
-3.37,-3.37,-3.37,-3.37,-3.37,-3.37,-3.37,-3.37
-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25
-3.08,-3.08,-3.08,-3.08,-3.08,-3.08,-3.08,-3.08
-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91,-2.91
-2.81,-2.81,-2.81,-2.81,-2.81,-2.81,-2.81,-2.81
-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83
-2.81,-2.81,-2.81,-2.81,-2.81,-2.81,-2.81,-2.81
-2.85,-2.85,-2.85,-2.85,-2.85,-2.85,-2.85,-2.85
-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88,-2.88
-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82
-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7
-2.58,-2.58,-2.58,-2.58,-2.58,-2.58,-2.58,-2.58
-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4
-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18
-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96
-1.77,-1.77,-1.77,-1.77,-1.77,-1.77,-1.77,-1.77
-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55
-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32
-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83
-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83
-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47
-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
1,1,1,1,1,1,1,1
1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79
-0.94,-0.94,-0.94,-0.94,-0.94,-0.94,-0.94,-0.94
-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
-1.17,-1.17,-1.17,-1.17,-1.17,-1.17,-1.17,-1.17
-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32
-1.49,-1.49,-1.49,-1.49,-1.49,-1.49,-1.49,-1.49
-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
-1.52,-1.52,-1.52,-1.52,-1.52,-1.52,-1.52,-1.52
-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6
-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
-1.83,-1.83,-1.83,-1.83,-1.83,-1.83,-1.83,-1.83
-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79
-1.66,-1.66,-1.66,-1.66,-1.66,-1.66,-1.66,-1.66
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34,-1.34
-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03
-0.93,-0.93,-0.93,-0.93,-0.93,-0.93,-0.93,-0.93
-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83
-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,Inf
-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,Inf
-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,Inf
-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,Inf
-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,Inf
-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,Inf
-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,Inf
-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,-0.86,Inf
-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,Inf
-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,Inf
-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,Inf
-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,Inf
-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,-0.91,Inf
-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,Inf
-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,Inf
-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,Inf,-1.14
-1.35,-1.35,-1.35,-1.35,-1.35,-1.35,Inf,-1.35
-1.46,-1.46,-1.46,-1.46,-1.46,-1.46,Inf,-1.46
-1.62,-1.62,-1.62,-1.62,-1.62,-1.62,Inf,-1.62
-1.62,-1.62,-1.62,-1.62,-1.62,-1.62,Inf,-1.62
-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,Inf,-1.51
-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,Inf,-1.44
-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,Inf,-1.44
-1.53,-1.53,-1.53,-1.53,-1.53,-1.53,Inf,-1.53
-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,Inf,-1.72
-1.92,-1.92,-1.92,-1.92,-1.92,-1.92,Inf,-1.92
-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,Inf,-2.12
-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,Inf,-2.32
-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,Inf,-2.32
-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,Inf,-2.56
-2.7,-2.7,-2.7,-2.7,-2.7,Inf,-2.7,-2.7
-2.66,-2.66,-2.66,-2.66,-2.66,Inf,-2.66,-2.66
-2.66,-2.66,-2.66,-2.66,-2.66,Inf,-2.66,-2.66
-2.71,-2.71,-2.71,-2.71,-2.71,Inf,-2.71,-2.71
-2.74,-2.74,-2.74,-2.74,-2.74,Inf,-2.74,-2.74
-2.81,-2.81,-2.81,-2.81,-2.81,Inf,-2.81,-2.81
-3.02,-3.02,-3.02,-3.02,-3.02,Inf,-3.02,-3.02
-3.16,-3.16,-3.16,-3.16,-3.16,Inf,-3.16,-3.16
-3.38,-3.38,-3.38,-3.38,-3.38,Inf,-3.38,-3.38
-3.54,-3.54,-3.54,-3.54,-3.54,Inf,-3.54,-3.54
-3.61,-3.61,-3.61,-3.61,-3.61,Inf,-3.61,-3.61
-3.71,-3.71,-3.71,-3.71,-3.71,Inf,-3.71,-3.71
-3.81,-3.81,-3.81,-3.81,-3.81,Inf,-3.81,-3.81
-3.91,-3.91,-3.91,-3.91,-3.91,Inf,-3.91,-3.91
-4.1,-4.1,-4.1,-4.1,-4.1,Inf,-4.1,-4.1
-4.31,-4.31,-4.31,-4.31,Inf,-4.31,-4.31,-4.31
-4.53,-4.53,-4.53,-4.53,Inf,-4.53,-4.53,-4.53
-4.59,-4.59,-4.59,-4.59,Inf,-4.59,-4.59,-4.59
-4.74,-4.74,-4.74,-4.74,Inf,-4.74,-4.74,-4.74
-5.03,-5.03,-5.03,-5.03,Inf,-5.03,-5.03,-5.03
-5.23,-5.23,-5.23,-5.23,Inf,-5.23,-5.23,-5.23
-5.26,-5.26,-5.26,-5.26,Inf,-5.26,-5.26,-5.26
-5.23,-5.23,-5.23,-5.23,Inf,-5.23,-5.23,-5.23
-5.09,-5.09,-5.09,-5.09,Inf,-5.09,-5.09,-5.09
-4.9,-4.9,-4.9,-4.9,Inf,-4.9,-4.9,-4.9
-4.74,-4.74,-4.74,-4.74,Inf,-4.74,-4.74,-4.74
-4.66,-4.66,-4.66,-4.66,Inf,-4.66,-4.66,-4.66
-4.6,-4.6,-4.6,-4.6,Inf,-4.6,-4.6,-4.6
-4.6,-4.6,-4.6,-4.6,Inf,-4.6,-4.6,-4.6
-4.44,-4.44,-4.44,-4.44,Inf,-4.44,-4.44,-4.44
-4.09,-4.09,-4.09,Inf,-4.09,-4.09,-4.09,-4.09
-4.09,-4.09,-4.09,Inf,-4.09,-4.09,-4.09,-4.09
-3.8,-3.8,-3.8,Inf,-3.8,-3.8,-3.8,-3.8
-3.76,-3.76,-3.76,Inf,-3.76,-3.76,-3.76,-3.76
-3.7,-3.7,-3.7,Inf,-3.7,-3.7,-3.7,-3.7
-3.69,-3.69,-3.69,Inf,-3.69,-3.69,-3.69,-3.69
-3.65,-3.65,-3.65,Inf,-3.65,-3.65,-3.65,-3.65
-3.55,-3.55,-3.55,Inf,-3.55,-3.55,-3.55,-3.55
-3.43,-3.43,-3.43,Inf,-3.43,-3.43,-3.43,-3.43
-3.38,-3.38,-3.38,Inf,-3.38,-3.38,-3.38,-3.38
-3.34,-3.34,-3.34,Inf,-3.34,-3.34,-3.34,-3.34
-3.31,-3.31,-3.31,Inf,-3.31,-3.31,-3.31,-3.31
-3.31,-3.31,-3.31,Inf,-3.31,-3.31,-3.31,-3.31
-3.38,-3.38,-3.38,Inf,-3.38,-3.38,-3.38,-3.38
-3.48,-3.48,-3.48,Inf,-3.48,-3.48,-3.48,-3.48
-3.75,-3.75,Inf,-3.75,-3.75,-3.75,-3.75,-3.75
-3.84,-3.84,Inf,-3.84,-3.84,-3.84,-3.84,-3.84
-3.94,-3.94,Inf,-3.94,-3.94,-3.94,-3.94,-3.94
-4.03,-4.03,Inf,-4.03,-4.03,-4.03,-4.03,-4.03
-3.94,-3.94,Inf,-3.94,-3.94,-3.94,-3.94,-3.94
-3.85,-3.85,Inf,-3.85,-3.85,-3.85,-3.85,-3.85
-3.86,-3.86,Inf,-3.86,-3.86,-3.86,-3.86,-3.86
-3.96,-3.96,Inf,-3.96,-3.96,-3.96,-3.96,-3.96
-4.2,-4.2,Inf,-4.2,-4.2,-4.2,-4.2,-4.2
-4.31,-4.31,Inf,-4.31,-4.31,-4.31,-4.31,-4.31
-4.53,-4.53,Inf,-4.53,-4.53,-4.53,-4.53,-4.53
-4.61,-4.61,Inf,-4.61,-4.61,-4.61,-4.61,-4.61
-4.56,-4.56,Inf,-4.56,-4.56,-4.56,-4.56,-4.56
-4.44,-4.44,Inf,-4.44,-4.44,-4.44,-4.44,-4.44
-4.44,-4.44,Inf,-4.44,-4.44,-4.44,-4.44,-4.44
-4.45,Inf,-4.45,-4.45,-4.45,-4.45,-4.45,-4.45
-4.49,Inf,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49
-4.49,Inf,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49
-4.73,Inf,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73
-4.97,Inf,-4.97,-4.97,-4.97,-4.97,-4.97,-4.97
-5.19,Inf,-5.19,-5.19,-5.19,-5.19,-5.19,-5.19
-5.29,Inf,-5.29,-5.29,-5.29,-5.29,-5.29,-5.29
